transID,payUserID,typeCard,userName,userSex,userBirthYear,corridorID,corridorName,direction,payAmount,transDate,tapInHour,tapOutHour,routeName,routeID,bankID,duration
PUTF883B3X42LU,346754681244542,emoney,Maryadi Haryanto,M,1968,JAK.03,Lebak Bulus - Andara,berangkat,0,2023-04-27,1900-01-01 18:22:06,1900-01-01 19:19:08,Simpang Adiaksa-Jln. Adiaksa II,A11,B003,00:57:02
WUUO818Q7J19LN,4946777822784,online,Wirda Yuliarti,M,1990,5,Matraman Baru - Ancol,arah balik,3500,2023-04-25,1900-01-01 06:36:23,1900-01-01 07:00:00,Slamet Riyadi-Budi Utomo,A12,B002,00:23:37
RDYL461X9L18YL,213105335345336,emoney,Gangsa Dabukke,M,1991,JAK.53,Grogol - Pos Pengumben via Slipi,arah balik,0,2023-04-16,1900-01-01 10:07:59,1900-01-01 11:47:48,Jln. Pemancingan Srengseng-Jln. Inspeksi Kali Pesanggrahan Barat,A13,B003,01:39:49
XHHU396N3P67FO,5253907658951545,dki,"Farah Hardiansyah, M.M.",F,2010,13D,Puri Beta - Ragunan,berangkat,3500,2023-04-05,1900-01-01 09:46:42,1900-01-01 11:38:52,Velbak-Seskoal,A14,B001,01:52:10
NZOK285R1D76KP,377951303236425,emoney,Keisha Prayoga,F,1982,JAK.20,Cawang UKI - Lubang Buaya,berangkat,0,2023-04-28,1900-01-01 17:58:25,1900-01-01 19:31:30,Jln. Gorda-TK Angkasa 5,A15,B003,01:33:05
KJHE433Z7N26IG,213198175349153,emoney,Dt. Cakrajiya Mardhiyah,F,1992,10A,Rusun Marunda - Tanjung Priok,berangkat,0,2023-04-12,1900-01-01 21:28:30,1900-01-01 23:13:04,STIP-Rusun Marunda 2,A16,B003,01:44:34
XOJL372J9G70XZ,30393449116998,bni,Ellis Pradipta,F,1987,JAK.02,Kampung Melayu - Duren Sawit,arah balik,0,2023-04-17,1900-01-01 07:48:52,1900-01-01 08:13:40,Simpang Pondok Bambu Batas 1-Simpang BKT,A17,B004,00:24:48
JRBZ585T9C47WL,213193665773269,emoney,Balidin Pradana,F,2003,2B,Harapan Indah - ASMI,berangkat,3500,2023-04-24,1900-01-01 09:08:45,1900-01-01 10:13:27,Lion Metal 2-KPP Pratama Cakung 2,A18,B003,01:04:42
XCNF457U8U53DN,180008292897068,emoney,Garan Pertiwi,F,1986,M13,Puri Beta 2 - Tendean,arah balik,3500,2023-04-10,1900-01-01 19:54:44,1900-01-01 21:09:09,Puri Beta 2-Rawa Barat,A19,B003,01:14:25
BTLF258U0F98ZZ,4729302648273942756,brizzi,Unjani Usamah,F,2003,M12,Sunter Boulevard Barat - Penjaringan,arah balik,3500,2023-04-06,1900-01-01 05:26:10,1900-01-01 06:22:04,Mangga Dua-Bandengan Selatan,A20,B005,00:55:54
EPIY533Y1A48HL,587887634588,flazz,Drs. Harjo Nurdiyanti,M,1986,14,Jakarta International Stadium - Senen,berangkat,3500,2023-04-27,1900-01-01 17:26:40,1900-01-01 19:07:39,Polres Metro Jakpus-Sunter Muara 1,A21,B006,01:40:59
DJJU428U6D72XW,5306981792743198,dki,Sakti Puspita,F,1988,11C,Rusun Pinus Elok - Rusun Pulo Gebang,berangkat,0,2023-04-08,1900-01-01 16:18:59,1900-01-01 17:58:03,Walikota Jakarta Timur 2-Penggilingan 1,A22,B001,01:39:04
LHPH351S5K99VX,3565528607360162,dki,"Endra Lestari, S.Psi",F,2004,4C,TU Gas - Bundaran Senayan,arah balik,3500,2023-04-12,1900-01-01 07:02:52,1900-01-01 09:00:14,Jln. Penataran-Gedung Wanita,A23,B001,01:57:22
MXIM578L6Z75ZH,346939661435562,emoney,Margana Pradana,F,1986,B13,Bekasi Barat - Blok M,arah balik,20000,2023-04-04,1900-01-01 06:01:35,1900-01-01 07:04:01,Bekasi Barat-St. MRT Asean 1,A24,B003,01:02:26
XRIX184B3I66SV,30243692336233,bni,Prayogo Mandala,M,1988,2B,Harapan Indah - ASMI,berangkat,3500,2023-04-27,1900-01-01 20:02:05,1900-01-01 21:35:55,KPP Pratama Cakung 2-Sbr. Ps. Ujung Menteng,A25,B004,01:33:50
WHXK783B9B02RM,30011083993544,bni,Nilam Mayasari,F,2005,6B,Ragunan - MH Thamrin via Semanggi,arah balik,3500,2023-04-18,1900-01-01 20:16:02,1900-01-01 22:15:06,Pejaten-Dukuh Atas,A26,B004,01:59:04
WVHH147S4C08JA,4525384867508914538,brizzi,Gamani Wibisono,M,1978,JAK.88,Terminal Tanjung Priok - Ancol Barat,arah balik,0,2023-04-28,1900-01-01 07:25:17,1900-01-01 08:38:18,Sekolah Yanindo Jakarta-KPP Pratama Jakarta Pluit,A27,B005,01:13:01
GRGG317U3P17NF,213121182081593,emoney,"dr. Rahman Anggraini, S.Psi",F,2007,1K,Cibubur Junction - Blok M,arah balik,20000,2023-04-14,1900-01-01 06:31:34,1900-01-01 08:18:02,Summitmas-Blok M Jalur 4,A28,B003,01:46:28
RSCC687Z0E65YK,4736304277327671,dki,Ilsa Kurniawan,F,2008,T11,Poris Plawad - Bundaran Senayan,arah balik,3500,2023-04-14,1900-01-01 13:48:56,1900-01-01 15:41:46,Pengayoman-Masjid Baiturrahman 1,A29,B001,01:52:50
RIBW790N4G26AF,676283044227,flazz,Keisha Handayani,M,1984,6P,Cibubur - Kuningan,berangkat,20000,2023-04-12,1900-01-01 09:11:38,1900-01-01 09:45:30,Tempo Scan-Rest Area TMII,A30,B006,00:33:52
WKJY719I0Y47KF,4492109252403353,dki,Bakiman Mahendra,M,1983,JAK.24,Senen - Pulo Gadung via Kelapa Gading,arah balik,0,2023-04-13,1900-01-01 20:07:19,1900-01-01 21:20:01,Simpang Gunung Sahari III-Term. Senen,A31,B001,01:12:42
OLPS640K9J23RH,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,berangkat,3500,2023-04-14,1900-01-01 05:17:06,1900-01-01 05:51:37,SMAK Penabur Enam 2-Pelabuhan Kali Adem,A32,B001,00:34:31
TJHW280K6W00KM,4873567085628236731,brizzi,R.A. Ghaliyati Susanti,M,1997,B14,Bekasi Barat - Kuningan,berangkat,20000,2023-04-13,1900-01-01 21:19:26,1900-01-01 22:33:00,Cipta Rasuna Said-RS Mitra Keluarga 2,A33,B005,01:13:34
NGMX535W3X73PG,6544828689784746,dki,Ina Sudiati,M,1981,3A,Rusun Pesakih - Kalideres,berangkat,0,2023-04-10,1900-01-01 06:56:39,1900-01-01 08:10:47,Pertamina Kalideres Daan Mogot-Pesakih 1,A34,B001,01:14:08
QEUA694R2C30VQ,4708295371136584,dki,Vega Putra,F,2000,2P,Gondangdia - Senen,berangkat,3500,2023-04-12,1900-01-01 08:20:00,1900-01-01 09:43:19,Atrium 1-Theresia,A35,B001,01:23:19
OCQD855A5U02RA,575273480229,flazz,Harimurti Purnawati,F,1996,9A,PGC 2 - Grogol 2,arah balik,3500,2023-04-17,1900-01-01 09:03:15,1900-01-01 10:55:12,Pancoran Tugu Arah Barat-RS Harapan Kita Arah Utara,A36,B006,01:51:57
QPAQ256I0Q29LC,3.57E+20,dki,"dr. Sakura Budiman, S.IP",M,1972,3C,Rusun Kapuk Muara - Penjaringan,arah balik,0,2023-04-28,1900-01-01 17:22:31,1900-01-01 18:18:23,Rusun Kapuk Muara-Penjaringan,A37,B001,00:55:52
URNF258E3Y34FG,3571912617977029,dki,Sidiq Suryatmi,F,1988,6H,Senen - Lebak Bulus,arah balik,3500,2023-04-25,1900-01-01 06:38:48,1900-01-01 07:33:44,Ampera 2-Lebak Bulus,A38,B001,00:54:56
ROKU276V0I32DI,2296212953530805,dki,"Gamanto Maheswara, S.H.",F,1974,JAK.42,Kampung Melayu - Pondok Kelapa,arah balik,0,2023-04-19,1900-01-01 16:18:18,1900-01-01 17:17:10,Ps. Enjo 2-Komplek Wijaya Kusuma 1,A39,B001,00:58:52
RIQY181Y9J93FG,6011024970416149,dki,"Nadia Saragih, S.I.Kom",F,2002,JAK.18,Kalibata - Kuningan,arah balik,0,2023-04-13,1900-01-01 07:56:49,1900-01-01 09:38:28,Pengadegan Barat VI-Wisma Laena Tebet,A40,B001,01:41:39
FPVJ857V5Y39QS,2245530208975489,dki,"Kawaca Narpati, S.Farm",F,2010,M2,Pulo Gadung - Monas,arah balik,3500,2023-04-13,1900-01-01 09:09:16,1900-01-01 10:30:18,Rawa Selatan-Galur,A41,B001,01:21:02
ARNX183X0A49ZU,3554107048543687,dki,Mutia Halimah,M,1976,13D,Puri Beta - Ragunan,berangkat,3500,2023-04-28,1900-01-01 17:10:33,1900-01-01 18:56:28,Pejaten-Mayestik,A42,B001,01:45:55
JLMB389L1S25EU,4661843359109266,dki,Galih Budiyanto,F,2005,8A,Jelambar - Juanda,arah balik,3500,2023-04-10,1900-01-01 09:59:27,1900-01-01 11:49:22,Petojo-Pecenongan,A43,B001,01:49:55
AKWW655V1Z09YC,3502967899324468,dki,Ivan Riyanti,M,1965,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,berangkat,3500,2023-04-13,1900-01-01 15:27:03,1900-01-01 17:22:02,Sbr. Puskesmas Setiabudi-Halimun 1,A44,B001,01:54:59
KQWH520S1Q04YW,180096606431591,emoney,KH. Laksana Kuswandari,F,1993,14,Jakarta International Stadium - Senen,berangkat,3500,2023-04-16,1900-01-01 05:39:15,1900-01-01 06:09:04,Sunter Muara 1-JIS,A45,B003,00:29:49
OMPF006U9P63DN,374659960840503,emoney,Luhung Permadi,F,2005,6D,Stasiun Tebet - Karet via Underpass,arah balik,3500,2023-04-26,1900-01-01 17:42:04,1900-01-01 18:56:57,Sahid Sudirman Center-Karet Pedurenan 2,A46,B003,01:14:53
HCPY590G3D18XW,60403675436,flazz,Dr. Taufan Jailani,F,1989,D11,Depok - BKN,berangkat,3500,2023-04-06,1900-01-01 06:34:22,1900-01-01 07:51:55,Balaikota Depok 2-Term. Depok Baru,A47,B006,01:17:33
BXPT259D1F40SI,3587354599889728,dki,Embuh Saragih,F,2000,8D,Joglo - Blok M,berangkat,3500,2023-04-04,1900-01-01 18:08:39,1900-01-01 19:24:06,Puskesmas Kel. Gunung-Mayestik 2,A48,B001,01:15:27
QFCZ422T7M16YP,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,berangkat,3500,2023-04-17,1900-01-01 17:16:48,1900-01-01 18:40:11,Bermis-Pulo Gadung 1,A49,B001,01:23:23
KNDJ215P1N52UC,4148347241602606,dki,Luhung Aryani,M,2005,JAK.42,Kampung Melayu - Pondok Kelapa,berangkat,0,2023-04-17,1900-01-01 17:58:20,1900-01-01 19:19:30,RS Duren Sawit-Sbr. Klinik Win Medika,A50,B001,01:21:10
MLJG184K3S43PV,503815656676,flazz,Dadi Halim,F,1996,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,arah balik,0,2023-04-08,1900-01-01 20:02:44,1900-01-01 20:50:00,Sbr. Jln. Komplek Yuka-SPBU Tugu Selatan,A51,B006,00:47:16
CDFV436Z0G42NG,344819183333911,emoney,Wahyu Wibisono,F,1985,10K,Tanjung Priok - Senen via Taman BMW,berangkat,3500,2023-04-19,1900-01-01 17:48:17,1900-01-01 18:39:17,Simpang Danau Sunter Utara Barat-Sbr. Sekolah Yanindo Jakarta,A52,B003,00:51:00
ZAVR201N4H66OD,180044335370375,emoney,Leo Wastuti,M,2007,JAK.113,Rusun Sindang Koja - Kp. Sawah,berangkat,0,2023-04-07,1900-01-01 21:28:01,1900-01-01 23:05:13,BPJS Ketenagakerjaan Marunda-RSUD Koja,A53,B003,01:37:12
ZORY812P3I83RF,6594531889548841,dki,T. Raden Kuswandari,M,1948,JAK.42,Kampung Melayu - Pondok Kelapa,arah balik,0,2023-04-05,1900-01-01 21:46:41,1900-01-01 22:39:49,Sbr. Komplek Pacul Mas-Univ. Darma Persada 2,A54,B001,00:53:08
SMPE001H2Y42BZ,180064464472990,emoney,Hj. Ana Laksita,F,1990,6H,Senen - Lebak Bulus,berangkat,3500,2023-04-21,1900-01-01 06:52:49,1900-01-01 08:14:29,Pondok Pinang-Telkom Grapari,A55,B003,01:21:40
EYRV194Y4I65QC,3535679723903364,dki,"Dr. Gamanto Winarsih, S.Ked",F,1991,JAK.84,Terminal Kampung Melayu - Kapin Raya,berangkat,0,2023-04-19,1900-01-01 16:37:53,1900-01-01 18:10:28,Univ. Borobudur 2-Awab Dalam,A56,B001,01:32:35
CQBO388A0J85HO,180074978149455,emoney,"R.A. Vivi Utama, S.T.",M,1969,4B,Stasiun Manggarai - UI,arah balik,3500,2023-04-11,1900-01-01 21:09:08,1900-01-01 22:01:26,Poltek Bunda Kandung-St. Lenteng Agung 1,A57,B003,00:52:18
PSXP583D2O91CD,180000876162530,emoney,"Ir. Yani Sihombing, S.H.",M,1973,12P,St. LRT Pegangsaan Dua - JIS,berangkat,3500,2023-04-24,1900-01-01 05:40:03,1900-01-01 06:17:26,Villa Bukit Gading-Puskesmas Kelapa Gading,A58,B003,00:37:23
UOVU693R6R21US,379764016867073,emoney,Saka Sihombing,F,1969,JAK.71,Kampung Rambutan - Pinang Ranti,arah balik,0,2023-04-12,1900-01-01 05:10:38,1900-01-01 05:45:17,SDN Dukuh 01-Sbr. Polsek Makasar,A59,B003,00:34:39
HAPJ253D5L09AA,213182881743974,emoney,Putri Nashiruddin,M,1995,1T,Cibubur - Balai Kota,arah balik,20000,2023-04-06,1900-01-01 20:34:39,1900-01-01 22:01:14,Cibubur Junction-MH Thamrin 2,A60,B003,01:26:35
RSGT718M8R38LI,3575787320226609,dki,"KH. Argono Nashiruddin, S.Gz",M,1988,11N,Rusun Cipinang Muara - Jatinegara,berangkat,0,2023-04-18,1900-01-01 17:17:26,1900-01-01 18:08:26,Ps. Enjo 2-Sbr. Jln. Cipinang Jaya,A61,B001,00:51:00
EHRN225N0P38JS,30218688993296,bni,"dr. Aisyah Kusumo, M.Ak",F,1993,S21,Ciputat - CSW,arah balik,3500,2023-04-11,1900-01-01 06:25:47,1900-01-01 08:21:20,Metro Pondok Indah-Antena II,A62,B004,01:55:33
FEFH445I4O56XA,30164080918459,bni,Daliono Adriansyah,F,2012,12,Tanjung Priok - Pluit,arah balik,3500,2023-04-18,1900-01-01 05:03:20,1900-01-01 05:55:10,Mangga Dua-Kali Besar Barat,A63,B004,00:51:50
SLLL793N7F96BE,630487347266,flazz,"drg. Dinda Prastuti, S.Sos",M,1964,JAK.18,Kalibata - Kuningan,arah balik,0,2023-04-15,1900-01-01 13:45:20,1900-01-01 14:50:51,Jln. Barkah III Manggarai Selatan-Soepomo,A64,B006,01:05:31
GZXD208L4J53SO,3570422408611549,dki,"Jati Nainggolan, M.TI.",F,1987,8C,Kebayoran Lama - Tanah Abang,berangkat,3500,2023-04-11,1900-01-01 05:25:42,1900-01-01 06:08:05,Jak Lingko Tanah Abang-Jln. Taman Jatibaru Timur,A65,B001,00:42:23
JDAC377L2F81UN,3521870832057616,dki,Vino Mayasari,M,2007,D11,Depok - BKN,berangkat,3500,2023-04-15,1900-01-01 16:40:43,1900-01-01 17:43:08,ACE Hardware-Term. Depok Baru,A66,B001,01:02:25
OOFD700Z1L30HH,4437250881603997453,brizzi,Mala Salahudin,F,1983,JAK.86,Term. Rawamangun - Term. Manggarai,berangkat,0,2023-04-03,1900-01-01 18:03:25,1900-01-01 19:23:13,Bank BRI Kayu Manis-Jln. Rawamangun Selatan 2,A67,B005,01:19:48
TGPR417D4C14XX,3521790276677051,dki,"H. Darmana Safitri, M.M.",M,1984,JAK.39,Kalimalang - Duren Sawit,arah balik,0,2023-04-03,1900-01-01 06:59:18,1900-01-01 08:57:59,SMPN 252-Klapa Village Pondok Kelapa,A68,B001,01:58:41
CXHJ967E9A67HW,4704902042632297,dki,"R. Nadine Prasetya, M.M.",F,1994,JAK.27,Pulo Gebang - Rorotan,arah balik,0,2023-04-07,1900-01-01 19:41:15,1900-01-01 21:01:14,Pintu Exit Term. Pulo Gebang-Sbr. Tambun Utara,A69,B001,01:19:59
MMSN895K9C69GN,4719371541269014,dki,Nasab Megantara,F,1997,3A,Rusun Pesakih - Kalideres,arah balik,0,2023-04-12,1900-01-01 16:22:35,1900-01-01 18:05:51,Rusun Pesakih-Kalideres 1,A70,B001,01:43:16
UWHW175V4X43QY,4066577839605,online,Asmadi Agustina,F,1983,JAK.27,Pulo Gebang - Rorotan,berangkat,0,2023-04-11,1900-01-01 19:46:45,1900-01-01 21:14:18,Jln. Pulau Sangiyang Lingkar Timur-Sentra Timur,A71,B002,01:27:33
HTCL751C6G17VZ,2635487652896273,dki,Balangga Narpati,F,2003,JAK.42,Kampung Melayu - Pondok Kelapa,berangkat,0,2023-04-03,1900-01-01 19:15:37,1900-01-01 20:53:53,Sbr. Ps. Deprok-Jln. Bekasi Timur I Jatinegara,A72,B001,01:38:16
NQLR689X5D28AC,6.54E+19,dki,Bakti Yuliarti,M,1998,5,Matraman Baru - Ancol,arah balik,3500,2023-04-24,1900-01-01 07:14:15,1900-01-01 09:10:50,Pademangan-Ancol,A73,B001,01:56:35
SIAZ498W5X42NY,213189948673904,emoney,Fathonah Anggraini,M,2006,6M,Stasiun Manggarai - Blok M,arah balik,3500,2023-04-20,1900-01-01 06:51:11,1900-01-01 07:39:48,Patra Kuningan-Gatot Subroto Jamsostek Arah Barat,A74,B003,00:48:37
SIHZ643S3V71QW,3583083290821821,dki,Estiono Rajasa,F,2003,BW9,Monas - Pantai Indah Kapuk,berangkat,0,2023-04-20,1900-01-01 17:08:29,1900-01-01 19:04:49,Monas 1-Monas 3,A75,B001,01:56:20
NCQR431M2X48ER,6011822091986589,dki,"Yosef Novitasari, M.M.",F,1984,1P,Senen - Blok M,berangkat,3500,2023-04-10,1900-01-01 07:47:21,1900-01-01 08:34:48,Plaza Indonesia-IRTI,A76,B001,00:47:27
HRHH858J5X02TU,4880377652769980677,brizzi,Drs. Betania Wahyuni,M,2010,JAK.120,JIS - Terminal Muara Angke,berangkat,0,2023-04-17,1900-01-01 17:48:36,1900-01-01 18:41:40,Jln. Industri I-BNN Jakarta Utara,A77,B005,00:53:04
TKVV697X8W71HA,374826778607941,emoney,Umay Nababan,F,1986,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,berangkat,0,2023-04-14,1900-01-01 06:07:51,1900-01-01 07:53:46,Malaka Jaya RW11 Rorotan-Ps. Malaka Rorotan,A78,B003,01:45:55
KMSC453O9P14DY,3592243227579699,dki,Ir. Murti Dabukke,F,2007,M9,Pinang Ranti - Pluit,berangkat,3500,2023-04-13,1900-01-01 20:35:43,1900-01-01 21:54:48,Slipi Petamburan Arah Utara-Pancoran Barat Arah Timur,A79,B001,01:19:05
UYYX850E4D24MG,3.57E+20,dki,Daliono Kurniawan,F,1986,B14,Bekasi Barat - Kuningan,arah balik,20000,2023-04-14,1900-01-01 21:55:49,1900-01-01 23:37:01,Kuningan Madya 2-Menara Duta,A80,B001,01:41:12
SCMK352C2B96VB,4664503638851963221,brizzi,Darman Puspasari,F,1996,JAK.118,Taman Waduk Papanggo - Kota Tua,arah balik,0,2023-04-17,1900-01-01 06:51:56,1900-01-01 07:13:46,Jln. Hidup Baru-Mangga Dua Square,A81,B005,00:21:50
HBNB344C9A87EB,4380875529452127,dki,Tirtayasa Sitorus,F,1988,JAK.06,Kampung Rambutan - Pondok Gede,berangkat,0,2023-04-12,1900-01-01 16:22:21,1900-01-01 17:41:03,Green Terrace-Museum Nasional VIsible Storage,A82,B001,01:18:42
PWII329D1Q52EG,6565479857225684,dki,Gina Salahudin,M,1967,JAK.38,Bulak Ringin - Kampung Rambutan,berangkat,0,2023-04-20,1900-01-01 05:23:10,1900-01-01 07:38:39,Man 2 Jakarta-Sekolah Bumi Husada Ciracas,A83,B001,02:15:29
UWTI253M8D78OE,6011651850954961,dki,Cut Malika Wastuti,M,1967,1,Blok M - Kota,arah balik,3500,2023-04-11,1900-01-01 19:11:37,1900-01-01 20:44:35,Sawah Besar Arah Utara-Olimo,A84,B001,01:32:58
YDWF215O4U71CK,3567825925804758,dki,Winda Habibi,M,2011,6T,Pasar Minggu - Velbak,berangkat,3500,2023-04-06,1900-01-01 08:33:31,1900-01-01 09:39:56,Jln. Pakubuwono VI-Sbr. SMK 57,A85,B001,01:06:25
HGBT094Z0D41OP,6011651850954961,dki,Cut Malika Wastuti,M,1967,1,Blok M - Kota,arah balik,3500,2023-04-25,1900-01-01 17:16:08,1900-01-01 18:39:12,Sawah Besar Arah Utara-Olimo,A84,B001,01:23:04
KMDM864C9X14HU,30146000910179,bni,Dina Pratiwi,M,1988,S11,BSD - Jelambar,arah balik,3500,2023-04-18,1900-01-01 07:38:08,1900-01-01 08:23:00,Gading Serpong 1-Tol Kb. Jeruk 2,A86,B004,00:44:52
GOCU596G8P57PM,2222447529017148,dki,Darijan Megantara,F,1998,R1A,Pantai Maju - Kota,berangkat,3500,2023-04-15,1900-01-01 11:05:06,1900-01-01 12:29:32,Stella Maris 2-Taman Resort Mediterania,A87,B001,01:24:26
LUPF902D3Z08YE,180076677620512,emoney,Shakila Siregar,M,1994,JAK.02,Kampung Melayu - Duren Sawit,arah balik,0,2023-04-26,1900-01-01 17:26:19,1900-01-01 18:53:40,Bidara Cina 1-Jln. Panti Asuhan,A88,B003,01:27:21
RQZS695G0H69WP,180050809468835,emoney,Latika Maheswara,M,1996,B21,Bekasi Timur - Cawang,berangkat,3500,2023-04-03,1900-01-01 07:16:07,1900-01-01 07:46:49,BTC 2-Terminal Bekasi,A89,B003,00:30:42
SGTE130R4K90CE,3559367200080515,dki,Cawisono Permadi,F,1987,6A,Ragunan - MH Thamrin via Kuningan,arah balik,3500,2023-04-25,1900-01-01 06:26:50,1900-01-01 07:23:58,Buncit Indah-Imigrasi,A90,B001,00:57:08
HYWX132U0W61AB,6011317469180253,dki,Ulya Suartini,F,1981,1T,Cibubur - Balai Kota,berangkat,20000,2023-04-25,1900-01-01 18:17:32,1900-01-01 19:37:18,Bank Indonesia 1-Wisma Nusantara,A91,B001,01:19:46
CMSN093Y3P69KG,4551895931872012,dki,R. Balapati Usada,M,1982,11Q,Kampung Melayu - Pulo Gebang via BKT,berangkat,3500,2023-04-28,1900-01-01 21:01:14,1900-01-01 22:20:04,Komplek Wijaya Kusuma 1-Dinas Kebersihan Duren Sawit,A92,B001,01:18:50
RYTB734S3U29UM,572544509597,flazz,drg. Kayun Safitri,M,1987,M3,Kalideres - Bundaran HI via Veteran,berangkat,3500,2023-04-10,1900-01-01 06:52:22,1900-01-01 07:48:09,Rawa Buaya-Dispenda Samsat Barat,A93,B006,00:55:47
CJKR477H6K02SB,3592243227579699,dki,Ir. Murti Dabukke,F,2007,M9,Pinang Ranti - Pluit,berangkat,3500,2023-04-14,1900-01-01 18:35:22,1900-01-01 20:32:46,Slipi Petamburan Arah Utara-Pancoran Barat Arah Timur,A79,B001,01:57:24
CMFA996P5J03GA,4345294247705168,dki,"Dasa Hastuti, S.Psi",M,1984,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,berangkat,0,2023-04-18,1900-01-01 05:26:47,1900-01-01 05:52:14,Jln. Elpa Putih II-Term. Tj. Priok 1,A94,B001,00:25:27
RPWJ867R1S43ZI,4060341720248400161,brizzi,"Winda Winarno, S.Pd",M,1946,10K,Tanjung Priok - Senen via Taman BMW,berangkat,3500,2023-04-12,1900-01-01 19:23:53,1900-01-01 21:04:37,Jln. Bungur Besar VI-Masjid Jami Al Badariah Kemayoran,A95,B005,01:40:44
DDUM692N9A46XI,6011309044185857,dki,"drg. Martaka Situmorang, S.Sos",M,1992,9C,Pinang Ranti - Bundaran Senayan,berangkat,3500,2023-04-04,1900-01-01 19:10:52,1900-01-01 20:55:09,Garuda Taman Mini-Pinang Ranti,A96,B001,01:44:17
WDFC711X9B23UV,180097982588566,emoney,"Kamaria Megantara, S.IP",M,1997,9H,Blok M - Universitas Indonesia,arah balik,3500,2023-04-18,1900-01-01 16:41:13,1900-01-01 17:37:35,Ps. Santa-Tirtayasa 1,A97,B003,00:56:22
HYSI354C7P55HD,4661843359109266,dki,Galih Budiyanto,F,2005,8A,Jelambar - Juanda,arah balik,3500,2023-04-19,1900-01-01 08:03:44,1900-01-01 09:00:42,Petojo-Pecenongan,A43,B001,00:56:58
EVYE073K1J57LP,2720484776954605,dki,Bancar Irawan,M,1999,3B,Rusun Flamboyan - Cengkareng,berangkat,0,2023-04-10,1900-01-01 16:37:56,1900-01-01 18:27:17,Puskesmas Cengkareng-Perumahan KFT 1,A98,B001,01:49:21
KTUI394N8P32FB,4997693930906134609,brizzi,"Cahyo Hutagalung, S.Pt",M,1989,JAK.06,Kampung Rambutan - Pondok Gede,arah balik,0,2023-04-19,1900-01-01 06:56:10,1900-01-01 07:53:18,Masjid Al Barokah 1-Sbr. Jln. Mini II,A99,B005,00:57:08
